+--------+---------+----------------------------------+-------------+
| Number | Decimal |              Binary              | Hexadecimal |
+--------+---------+----------------------------------+-------------+
|   1    |   -39   | 11111111111111111111111111011001 |    -0x27    |
|   2    |   -36   | 11111111111111111111111111011100 |    -0x24    |
|   3    |    8    |              0b1000              |     0x8     |
|   4    |    34   |             0b100010             |     0x22    |
|   5    |    17   |             0b10001              |     0x11    |
|   6    |    49   |             0b110001             |     0x31    |
|   7    |    5    |              0b101               |     0x5     |
|   8    |    0    |               0b0                |     0x0     |
|   9    |    33   |             0b100001             |     0x21    |
|   10   |    12   |              0b1100              |     0xc     |
|   11   |    -6   | 11111111111111111111111111111010 |     -0x6    |
|   12   |    27   |             0b11011              |     0x1b    |
|   13   |    -4   | 11111111111111111111111111111100 |     -0x4    |
|   14   |   -38   | 11111111111111111111111111011010 |    -0x26    |
|   15   |    26   |             0b11010              |     0x1a    |
|   16   |    49   |             0b110001             |     0x31    |
|   17   |    29   |             0b11101              |     0x1d    |
|   18   |    42   |             0b101010             |     0x2a    |
|   19   |   -16   | 11111111111111111111111111110000 |    -0x10    |
|   20   |    34   |             0b100010             |     0x22    |
|   21   |    20   |             0b10100              |     0x14    |
|   22   |    0    |               0b0                |     0x0     |
|   23   |    25   |             0b11001              |     0x19    |
|   24   |    45   |             0b101101             |     0x2d    |
|   25   |    3    |               0b11               |     0x3     |
|   26   |   -46   | 11111111111111111111111111010010 |    -0x2e    |
|   27   |   -46   | 11111111111111111111111111010010 |    -0x2e    |
|   28   |    29   |             0b11101              |     0x1d    |
|   29   |    33   |             0b100001             |     0x21    |
|   30   |    29   |             0b11101              |     0x1d    |
|   31   |    26   |             0b11010              |     0x1a    |
|   32   |    -5   | 11111111111111111111111111111011 |     -0x5    |
|   33   |   -36   | 11111111111111111111111111011100 |    -0x24    |
|   34   |    12   |              0b1100              |     0xc     |
|   35   |    45   |             0b101101             |     0x2d    |
|   36   |   -50   | 11111111111111111111111111001110 |    -0x32    |
|   37   |    0    |               0b0                |     0x0     |
|   38   |    -6   | 11111111111111111111111111111010 |     -0x6    |
+--------+---------+----------------------------------+-------------+ 

 TOTAL TIME OF EXECUTION: 0.000 SECONDS
